Country,Year,HepatitisB,Measles,BMI,Polio,Diphtheria,HIV/AIDS,Alcohol,LifeExpectancy 
Afghanistan,2015,65.0,1154.0,19.1,6.0,65.0,0.1,0.0,65.0
Afghanistan,2014,62.0,492.0,18.6,58.0,62.0,0.1,0.0,59.9
Afghanistan,2013,64.0,430.0,18.1,62.0,64.0,0.1,0.0,59.9
Afghanistan,2012,67.0,2787.0,17.6,67.0,67.0,0.1,0.0,59.5
Afghanistan,2011,68.0,3013.0,17.2,68.0,68.0,0.1,0.0,59.2
Afghanistan,2010,66.0,1989.0,16.7,66.0,66.0,0.1,0.0,58.8
Afghanistan,2009,63.0,2861.0,16.2,63.0,63.0,0.1,0.0,58.6
Afghanistan,2008,64.0,1599.0,15.7,64.0,64.0,0.1,0.0,58.1
Afghanistan,2007,63.0,1141.0,15.2,63.0,63.0,0.1,0.0,57.5
Afghanistan,2006,64.0,1990.0,14.7,58.0,58.0,0.1,0.0,57.3
Afghanistan,2005,66.0,1296.0,14.2,58.0,58.0,0.1,0.0,57.3
Afghanistan,2004,67.0,466.0,13.8,5.0,5.0,0.1,0.0,57.0
Afghanistan,2003,65.0,798.0,13.4,41.0,41.0,0.1,0.0,56.7
Afghanistan,2002,64.0,2486.0,13.0,36.0,36.0,0.1,0.0,56.2
Afghanistan,2001,63.0,8762.0,12.6,35.0,33.0,0.1,0.0,55.3
Afghanistan,2000,62.0,6532.0,12.2,24.0,24.0,0.1,0.0,54.8
Albania,2015,99.0,0.0,58.0,99.0,99.0,0.1,4.6,77.8
Albania,2014,98.0,0.0,57.2,98.0,98.0,0.1,4.5,77.5
Albania,2013,99.0,0.0,56.5,99.0,99.0,0.1,4.8,77.2
Albania,2012,99.0,9.0,55.8,99.0,99.0,0.1,5.1,76.9
Albania,2011,99.0,28.0,55.1,99.0,99.0,0.1,5.4,76.6
Albania,2010,99.0,10.0,54.3,99.0,99.0,0.1,5.3,76.2
Albania,2009,98.0,0.0,53.5,98.0,98.0,0.1,5.8,76.1
Albania,2008,99.0,0.0,52.6,99.0,99.0,0.1,5.6,75.3
Albania,2007,98.0,22.0,51.7,99.0,98.0,0.1,5.6,75.9
Albania,2006,98.0,68.0,5.8,97.0,97.0,0.1,5.3,74.2
Albania,2005,98.0,6.0,49.9,97.0,98.0,0.1,5.2,73.5
Albania,2004,99.0,7.0,48.9,98.0,97.0,0.1,4.5,73.0
Albania,2003,97.0,8.0,47.9,97.0,97.0,0.1,4.3,72.8
Albania,2002,96.0,16.0,46.9,98.0,98.0,0.1,3.7,73.3
Albania,2001,96.0,18.0,46.0,97.0,97.0,0.1,4.3,73.6
Albania,2000,96.0,662.0,45.0,97.0,97.0,0.1,3.7,72.6
Algeria,2015,95.0,63.0,59.5,95.0,95.0,0.1,0.0,75.6
Algeria,2014,95.0,0.0,58.4,95.0,95.0,0.1,0.0,75.4
Algeria,2013,95.0,25.0,57.2,95.0,95.0,0.1,0.5,75.3
Algeria,2012,95.0,18.0,56.1,95.0,95.0,0.1,0.7,75.1
Algeria,2011,95.0,112.0,55.0,95.0,95.0,0.1,0.6,74.9
Algeria,2010,95.0,103.0,53.9,95.0,95.0,0.1,0.5,74.7
Algeria,2009,94.0,107.0,52.8,94.0,95.0,0.1,0.5,74.4
Algeria,2008,91.0,217.0,51.8,92.0,93.0,0.1,0.5,74.1
Algeria,2007,9.0,0.0,5.8,95.0,95.0,0.1,0.4,73.8
Algeria,2006,8.0,944.0,49.8,95.0,95.0,0.1,0.4,73.4
Algeria,2005,83.0,2302.0,48.9,88.0,88.0,0.1,0.5,72.9
Algeria,2004,81.0,3289.0,47.9,86.0,86.0,0.1,0.5,72.3
Algeria,2003,0.0,15374.0,47.0,87.0,87.0,0.1,0.3,71.7
Algeria,2002,0.0,5862.0,46.1,86.0,86.0,0.1,0.4,71.6
Algeria,2001,0.0,2686.0,45.3,89.0,89.0,0.1,0.2,71.4
Algeria,2000,0.0,0.0,44.4,86.0,86.0,0.1,0.3,71.3
Angola,2015,64.0,118.0,23.3,7.0,64.0,1.9,0.0,52.4
Angola,2014,64.0,11699.0,22.7,68.0,64.0,2.0,8.3,51.7
Angola,2013,77.0,8523.0,22.1,67.0,77.0,2.3,8.1,51.1
Angola,2012,75.0,4458.0,21.5,75.0,75.0,2.6,8.2,56.0
Angola,2011,72.0,1449.0,21.0,73.0,71.0,2.5,8.1,51.0
Angola,2010,77.0,1190.0,2.4,81.0,77.0,2.5,7.8,49.6
Angola,2009,61.0,2807.0,19.8,63.0,6.0,2.5,7.0,49.1
Angola,2008,69.0,265.0,19.3,65.0,69.0,2.6,7.1,48.7
Angola,2007,73.0,1014.0,18.8,75.0,73.0,2.6,6.4,48.2
Angola,2006,0.0,765.0,18.2,36.0,34.0,2.5,5.8,47.7
Angola,2005,0.0,258.0,17.7,39.0,38.0,2.6,5.0,47.4
Angola,2004,0.0,29.0,17.2,4.0,4.0,2.5,3.5,47.1
Angola,2003,0.0,1196.0,16.8,4.0,4.0,2.4,3.5,46.8
Angola,2002,0.0,11945.0,16.3,37.0,41.0,2.3,2.8,46.5
Angola,2001,0.0,9046.0,15.8,41.0,38.0,2.1,2.6,45.7
Angola,2000,0.0,2219.0,15.4,3.0,28.0,2.0,1.9,45.3
Argentina,2015,94.0,0.0,62.8,93.0,94.0,0.1,0.0,76.3
Argentina,2014,94.0,1.0,62.2,92.0,94.0,0.1,7.9,76.2
Argentina,2013,94.0,0.0,61.6,99.0,94.0,0.1,8.3,76.0
Argentina,2012,91.0,2.0,61.0,99.0,91.0,0.1,8.4,75.9
Argentina,2011,91.0,3.0,6.4,93.0,91.0,0.1,8.1,75.7
Argentina,2010,94.0,17.0,59.8,95.0,94.0,0.1,8.2,75.5
Argentina,2009,94.0,3.0,59.2,97.0,94.0,0.1,8.3,75.6
Argentina,2008,9.0,0.0,58.6,94.0,93.0,0.1,8.4,75.4
Argentina,2007,85.0,0.0,58.0,92.0,91.0,0.1,8.2,74.8
Argentina,2006,84.0,0.0,57.5,92.0,91.0,0.1,7.8,75.2
Argentina,2005,88.0,0.0,56.9,95.0,98.0,0.1,7.5,74.9
Argentina,2004,81.0,0.0,56.3,91.0,98.0,0.1,7.6,74.7
Argentina,2003,73.0,0.0,55.7,95.0,96.0,0.1,7.6,74.1
Argentina,2002,66.0,0.0,55.1,94.0,93.0,0.1,7.8,74.1
Argentina,2001,0.0,0.0,54.6,85.0,83.0,0.1,7.8,74.0
Argentina,2000,0.0,6.0,54.0,88.0,83.0,0.1,7.7,74.1
Armenia,2015,94.0,33.0,54.9,96.0,94.0,0.1,0.0,74.8
Armenia,2014,93.0,13.0,54.1,95.0,93.0,0.1,3.9,74.6
Armenia,2013,95.0,10.0,53.3,96.0,95.0,0.1,3.8,74.4
Armenia,2012,95.0,0.0,52.6,96.0,95.0,0.1,3.9,74.4
Armenia,2011,95.0,0.0,51.9,96.0,95.0,0.1,4.1,73.9
Armenia,2010,94.0,2.0,51.2,96.0,94.0,0.1,4.2,73.5
Armenia,2009,93.0,0.0,5.7,94.0,93.0,0.1,4.0,73.3
Armenia,2008,89.0,0.0,5.1,91.0,89.0,0.1,4.0,73.2
Armenia,2007,85.0,1.0,49.7,9.0,88.0,0.1,4.0,73.5
Armenia,2006,78.0,137.0,49.2,87.0,87.0,0.1,4.0,72.9
Armenia,2005,91.0,2281.0,48.8,92.0,9.0,0.1,4.3,73.0
Armenia,2004,91.0,1783.0,48.4,93.0,91.0,0.1,3.8,73.0
Armenia,2003,93.0,4.0,48.1,96.0,94.0,0.1,3.0,72.7
Armenia,2002,91.0,40.0,47.8,96.0,94.0,0.1,2.9,72.6
Armenia,2001,69.0,69.0,47.4,97.0,94.0,0.1,2.9,72.6
Armenia,2000,55.0,15.0,47.1,96.0,93.0,0.1,2.9,72.0
Australia,2015,93.0,74.0,66.6,93.0,93.0,0.1,0.0,82.8
Australia,2014,91.0,340.0,66.1,92.0,92.0,0.1,9.7,82.7
Australia,2013,91.0,158.0,65.5,91.0,91.0,0.1,9.9,82.5
Australia,2012,91.0,199.0,65.0,92.0,92.0,0.1,10.0,82.3
Australia,2011,92.0,190.0,64.4,92.0,92.0,0.1,10.3,82.0
Australia,2010,92.0,70.0,63.9,92.0,92.0,0.1,10.5,81.9
Australia,2009,94.0,104.0,63.4,92.0,92.0,0.1,10.6,81.7
Australia,2008,94.0,65.0,62.9,92.0,92.0,0.1,10.8,81.3
Australia,2007,94.0,11.0,62.5,92.0,92.0,0.1,10.6,81.3
Australia,2006,95.0,0.0,62.0,92.0,92.0,0.1,10.3,81.2
Australia,2005,95.0,10.0,61.5,92.0,92.0,0.1,10.3,81.0
Australia,2004,95.0,70.0,6.9,92.0,92.0,0.1,9.8,86.0
Australia,2003,95.0,91.0,6.3,92.0,93.0,0.1,10.0,83.0
Australia,2002,95.0,32.0,59.6,92.0,92.0,0.1,9.8,79.9
Australia,2001,94.0,141.0,59.0,91.0,92.0,0.1,9.5,79.9
Australia,2000,0.0,108.0,58.2,9.0,9.0,0.1,10.2,79.5
Austria,2015,93.0,309.0,57.6,93.0,93.0,0.1,0.0,81.5
Austria,2014,98.0,117.0,57.1,98.0,98.0,0.1,12.3,81.4
Austria,2013,95.0,0.0,56.6,95.0,95.0,0.1,11.8,81.1
Austria,2012,92.0,36.0,56.1,92.0,92.0,0.1,12.3,88.0
Austria,2011,89.0,68.0,55.7,89.0,89.0,0.1,12.0,88.0
Austria,2010,86.0,52.0,55.2,86.0,86.0,0.1,12.1,84.0
