Commodity Name,City Name,Package,Variety,Date,LowPrice,HighPrice,Mostly Low,Mostly High,Origin,ItemSize
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,150,170,150,170,MICHIGAN,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,150,170,150,170,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,130,150,130,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,130,150,130,150,NEW JERSEY,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,120,140,120,140,NEW YORK,med-lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,150,170,150,170,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,120,170,120,170,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,180,190,180,190,PENNSYLVANIA,med
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,150,170,150,170,MICHIGAN,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,150,170,150,170,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,140,140,140,140,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,140,140,140,140,NEW YORK,med-lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,150,170,150,170,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,160,170,160,170,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,160,180,160,180,MICHIGAN,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,175,175,175,175,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,140,150,140,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,160,160,160,160,NEW YORK,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,120,140,120,140,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/15/2016,120,130,120,130,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/15/2016,160,160,160,160,NEW YORK,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/22/2016,120,130,120,130,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/22/2016,160,160,160,160,NEW YORK,xlge
